Date,Price,ETHMA
Apr-01,135.66,
Apr-02,141.3,
Apr-03,141.14,
Apr-04,144.01,
Apr-05,142.58,
Apr-06,171.06,
Apr-07,164.71,
Apr-08,173,
Apr-09,169.68,
Apr-10,157.86,
Apr-11,158.18,
Apr-12,158.73,
Apr-13,156.38,
Apr-14,158.45,
Apr-15,152.9,155.0426667
Apr-16,172.31,156.121875
Apr-17,170.63,156.9752941
Apr-18,187.45,158.6683333
Apr-19,180.13,159.7978947
Apr-20,170.4,160.328
Apr-21,170.79,162.0845
Apr-22,182.72,164.1555
Apr-23,185.46,166.3715
Apr-24,187.58,168.55
Apr-25,194.01,171.1215
Apr-26,197.35,172.436
Apr-27,196.14,174.0075
Apr-28,196.55,175.185
Apr-29,215.4,177.471
Apr-30,206.22,179.889
May-01,212,182.58
May-02,213.96,185.3415
May-03,209.83,188.014
May-04,206.61,190.422
May-05,205.36,193.045
May-06,199.04,194.3815
May-07,212,196.45
May-08,211.45,197.65
May-09,210.22,199.1545
May-10,187.78,200.0235
May-11,185.96,200.782
May-12,189.84,201.138
May-13,199.58,201.844
May-14,203.3,202.63
May-15,194.85,202.672
May-16,200.51,202.83
May-17,207,203.373
May-18,214.87,204.289
May-19,214.51,204.2445
May-20,209.99,204.433
May-21,198.75,203.7705
May-22,207.35,203.44
May-23,206.62,203.2795
May-24,199.97,202.9475
May-25,204.13,202.886
May-26,199.91,202.9295
